Antibiotic,CASRN,level,name,Genus,MSC,PAF,Imputation
Amikacin,37517-28-5,genus,Morganella,Morganella,0.06253327873548324,0.35,FALSE
Amikacin,37517-28-5,species,Mycobacterium abscessus,Mycobacterium,0.9732198607366064,0.92,FALSE
Amikacin,37517-28-5,species,Mycobacterium avium,Mycobacterium,1.3428017874774376,0.96,FALSE
Amikacin,37517-28-5,species,Mycobacterium intracellulare,Mycobacterium,0.6600299946786159,0.86,FALSE
Amikacin,37517-28-5,species,Mycobacterium tuberculosis,Mycobacterium,0.06496620668801965,0.4,FALSE
Amikacin,37517-28-5,species,Mycobacterium tuberculosis 7H9,Mycobacterium,0.03652780343831542,0.16,FALSE
Amikacin,37517-28-5,genus,Mycobacterium,Mycobacterium,0.2898808476181453,0.7,FALSE
Amikacin,37517-28-5,species,Nocardia abscessus,Nocardia,0.00859931094335114,0.02,FALSE
Amikacin,37517-28-5,species,Nocardia cyriacigeorgica,Nocardia,0.04487437971780568,0.24,FALSE
Amikacin,37517-28-5,genus,Nocardia,Nocardia,0.01964405112453694,0.05,FALSE
Amikacin,37517-28-5,species,Plesiomonas shigelloides,Plesiomonas,0.7588187380819666,0.88,FALSE
Amikacin,37517-28-5,genus,Plesiomonas,Plesiomonas,0.7588187380819666,0.85,FALSE
Amikacin,37517-28-5,species,Proteus mirabilis,Proteus,0.13698932483732143,0.78,FALSE
Amikacin,37517-28-5,species,Proteus vulgaris,Proteus,0.06685840666952438,0.44,FALSE
Amikacin,37517-28-5,genus,Proteus,Proteus,0.09570207933664356,0.6,FALSE
Amikacin,37517-28-5,species,Pseudomonas aeruginosa,Pseudomonas,0.11692906118837086,0.74,FALSE
Amikacin,37517-28-5,species,Pseudomonas aeruginosa ATCC 27853,Pseudomonas,0.14010931654219377,0.8,FALSE
Amikacin,37517-28-5,species,Pseudomonas putida group,Pseudomonas,0.01369680452173226,0.04,FALSE
Amikacin,37517-28-5,species,Pseudomonas stutzeri group,Pseudomonas,0.04765107041961549,0.26,FALSE
Amikacin,37517-28-5,genus,Pseudomonas,Pseudomonas,0.05718344937558307,0.25,FALSE
Amikacin,37517-28-5,species,Salmonella enterica,Salmonella,0.03730654365617977,0.18,FALSE
Amikacin,37517-28-5,genus,Salmonella,Salmonella,0.03730654365617977,0.15,FALSE
Amikacin,37517-28-5,species,Serratia marcescens,Serratia,0.09439246613290156,0.66,FALSE
Amikacin,37517-28-5,genus,Serratia,Serratia,0.09439246613290156,0.55,FALSE
Amikacin,37517-28-5,species,Staphylococcus aureus,Staphylococcus,0.10939200545989254,0.7,FALSE
Amikacin,37517-28-5,species,Staphylococcus capitis,Staphylococcus,0.01455106436857391,0.06,FALSE
Amikacin,37517-28-5,species,Staphylococcus epidermidis,Staphylococcus,0.03160100826463656,0.1,FALSE
Amikacin,37517-28-5,species,Staphylococcus haemolyticus,Staphylococcus,0.06177049603235793,0.32,FALSE
Amikacin,37517-28-5,species,Staphylococcus hominis,Staphylococcus,0.03598486342977095,0.14,FALSE
Amikacin,37517-28-5,species,Staphylococcus warneri,Staphylococcus,0.02361566796364561,0.08,FALSE
Amikacin,37517-28-5,genus,Staphylococcus,Staphylococcus,0.03717751959544576,0.1,FALSE
Amikacin,37517-28-5,species,Yersinia enterocolitica,Yersinia,0.05126649918716154,0.28,FALSE
Amikacin,37517-28-5,genus,Yersinia,Yersinia,0.05126649918716154,0.2,FALSE
Amoxicillin,26787-78-0,species,Actinobacillus pleuropneumoniae,Actinobacillus,0.01620373642909526,0.5434782608695652,FALSE
Amoxicillin,26787-78-0,genus,Actinobacillus,Actinobacillus,0.01620373642909526,0.52,FALSE
Amoxicillin,26787-78-0,species,Actinobaculum schaalii,Actinobaculum,0.00534294239591447,0.3695652173913043,FALSE
Amoxicillin,26787-78-0,genus,Actinobaculum,Actinobaculum,0.00534294239591447,0.28,FALSE
Amoxicillin,26787-78-0,species,Actinomyces israelii,Actinomyces,0.00894939264810823,0.43478260869565216,FALSE
Amoxicillin,26787-78-0,genus,Actinomyces,Actinomyces,0.00894939264810823,0.36,FALSE
Amoxicillin,26787-78-0,species,Bacteroides fragilis,Bacteroides,0.8523393824388357,0.9347826086956522,FALSE
Amoxicillin,26787-78-0,species,Bacteroides fragilis group,Bacteroides,0.25814657224827026,0.8260869565217391,FALSE
Amoxicillin,26787-78-0,species,Bacteroides thetaiotaomicron,Bacteroides,0.19751182064012973,0.782608695652174,FALSE
Amoxicillin,26787-78-0,genus,Bacteroides,Bacteroides,0.351579871859147,0.84,FALSE
Amoxicillin,26787-78-0,species,Bordetella bronchiseptica,Bordetella,0.7428959932206066,0.9130434782608695,FALSE
Amoxicillin,26787-78-0,genus,Bordetella,Bordetella,0.7428959932206066,0.92,FALSE
Amoxicillin,26787-78-0,species,Campylobacter coli,Campylobacter,0.09322907570596102,0.717391304347826,FALSE
Amoxicillin,26787-78-0,species,Campylobacter jejuni,Campylobacter,0.1425841577586121,0.7608695652173914,FALSE
Amoxicillin,26787-78-0,genus,Campylobacter,Campylobacter,0.11529522643261662,0.8,FALSE
Amoxicillin,26787-78-0,species,Clostridium difficile,Clostridium,0.0484026900123721,0.6086956521739131,FALSE
Amoxicillin,26787-78-0,species,Clostridium perfringens,Clostridium,0.00265660278072482,0.17391304347826086,FALSE
Amoxicillin,26787-78-0,genus,Clostridium,Clostridium,0.01133960849771406,0.4,FALSE
Amoxicillin,26787-78-0,species,Cutibacterium acnes,Cutibacterium,0.00304536400780271,0.21739130434782608,FALSE
Amoxicillin,26787-78-0,genus,Cutibacterium,Cutibacterium,0.00304536400780271,0.2,FALSE
Amoxicillin,26787-78-0,species,Enterobacter agglomerans,Enterobacter,0.28356618458043453,0.8478260869565217,FALSE
Amoxicillin,26787-78-0,species,Enterobacter cloacae,Enterobacter,4.07900636162457,0.9782608695652174,FALSE
Amoxicillin,26787-78-0,species,Enterobacter dissolvens,Enterobacter,21.42633206618875,1,FALSE
Amoxicillin,26787-78-0,genus,Enterobacter,Enterobacter,2.915539197362659,1,FALSE
Amoxicillin,26787-78-0,species,Enterococcus faecium,Enterococcus,0.05349622617806145,0.6521739130434783,FALSE
Amoxicillin,26787-78-0,genus,Enterococcus,Enterococcus,0.05349622617806145,0.68,FALSE
Amoxicillin,26787-78-0,species,Escherichia coli,Escherichia,0.22994614229812063,0.8043478260869565,FALSE
Amoxicillin,26787-78-0,species,Escherichia coli ATCC 25922,Escherichia,0.5956778317626575,0.8913043478260869,FALSE
Amoxicillin,26787-78-0,genus,Escherichia,Escherichia,0.37009974259155065,0.88,FALSE
Amoxicillin,26787-78-0,species,Haemophilus influenzae,Haemophilus,0.02825533396907436,0.5652173913043478,FALSE
Amoxicillin,26787-78-0,species,Haemophilus influenzae ATCC 49247,Haemophilus,0.49473277303200813,0.8695652173913043,FALSE
Amoxicillin,26787-78-0,species,Haemophilus influenzae ATCC 49766,Haemophilus,0.03559334667277243,0.5869565217391305,FALSE
Amoxicillin,26787-78-0,species,Haemophilus parainfluenzae,Haemophilus,0.01109844464065109,0.45652173913043476,FALSE
Amoxicillin,26787-78-0,species,Haemophilus parasuis,Haemophilus,0.00223548761286025,0.13043478260869565,FALSE
Amoxicillin,26787-78-0,genus,Haemophilus,Haemophilus,0.02619961247405283,0.56,FALSE
Amoxicillin,26787-78-0,species,Helicobacter pylori,Helicobacter,3.604836280806818e-4,0.021739130434782608,FALSE
Amoxicillin,26787-78-0,genus,Helicobacter,Helicobacter,3.604836280806818e-4,0.04,FALSE
Amoxicillin,26787-78-0,species,Kingella kingae,Kingella,0.00308703748619514,0.2391304347826087,FALSE
Amoxicillin,26787-78-0,genus,Kingella,Kingella,0.00308703748619514,0.24,FALSE
Amoxicillin,26787-78-0,species,Legionella pneumophila,Legionella,0.04940357944222021,0.6304347826086957,FALSE
Amoxicillin,26787-78-0,genus,Legionella,Legionella,0.04940357944222021,0.64,FALSE
Amoxicillin,26787-78-0,species,Mannheimia haemolytica,Mannheimia,0.01467059451172971,0.5217391304347826,FALSE
Amoxicillin,26787-78-0,genus,Mannheimia,Mannheimia,0.01467059451172971,0.48,FALSE
Amoxicillin,26787-78-0,species,Moraxella catarrhalis,Moraxella,0.00231201197093553,0.15217391304347827,FALSE
Amoxicillin,26787-78-0,genus,Moraxella,Moraxella,0.00231201197093553,0.08,FALSE
Amoxicillin,26787-78-0,species,Neisseria meningitidis,Neisseria,0.00700244647485628,0.391304347826087,FALSE
Amoxicillin,26787-78-0,genus,Neisseria,Neisseria,0.00700244647485628,0.32,FALSE
Amoxicillin,26787-78-0,species,Pasteurella multocida,Pasteurella,0.01170965265539595,0.4782608695652174,FALSE
Amoxicillin,26787-78-0,genus,Pasteurella,Pasteurella,0.01170965265539595,0.44,FALSE
Amoxicillin,26787-78-0,species,Porphyromonas spp,Porphyromonas,0.00283689945848667,0.1956521739130435,FALSE
Amoxicillin,26787-78-0,genus,Porphyromonas,Porphyromonas,0.00283689945848667,0.16,FALSE
Amoxicillin,26787-78-0,species,Proteus mirabilis,Proteus,0.07276359017931883,0.6739130434782609,FALSE
Amoxicillin,26787-78-0,genus,Proteus,Proteus,0.07276359017931883,0.72,FALSE
Amoxicillin,26787-78-0,species,Salmonella enterica,Salmonella,0.094384448393644,0.7391304347826086,FALSE
Amoxicillin,26787-78-0,genus,Salmonella,Salmonella,0.094384448393644,0.76,FALSE
Amoxicillin,26787-78-0,species,Staphylococcus aureus ATCC 29213,Staphylococcus,0.08800531662091142,0.6956521739130435,FALSE
Amoxicillin,26787-78-0,species,Staphylococcus hyicus,Staphylococcus,0.01416423695903511,0.5,FALSE
Amoxicillin,26787-78-0,genus,Staphylococcus,Staphylococcus,0.03530620566236905,0.6,FALSE
Amoxicillin,26787-78-0,species,Streptococcus agalactiae,Streptococcus,0.00372999082876619,0.2608695652173913,FALSE
Amoxicillin,26787-78-0,species,Streptococcus anginosus,Streptococcus,0.00428460470217031,0.2826086956521739,FALSE
Amoxicillin,26787-78-0,species,Streptococcus bovis,Streptococcus,0.00449126546092008,0.30434782608695654,FALSE
Amoxicillin,26787-78-0,species,Streptococcus group G,Streptococcus,4.438982809732895e-4,0.043478260869565216,FALSE
Amoxicillin,26787-78-0,species,Streptococcus intermedius,Streptococcus,0.00470175033003226,0.32608695652173914,FALSE
Amoxicillin,26787-78-0,species,Streptococcus oralis,Streptococcus,0.0015346768004807,0.10869565217391304,FALSE
Amoxicillin,26787-78-0,species,Streptococcus pneumoniae,Streptococcus,0.00114864971759738,0.08695652173913043,FALSE
Amoxicillin,26787-78-0,species,Streptococcus pneumoniae ATCC 49619,Streptococcus,0.00509881131366494,0.34782608695652173,FALSE
Amoxicillin,26787-78-0,species,Streptococcus pyogenes,Streptococcus,9.238659216224982e-4,0.06521739130434782,FALSE
Amoxicillin,26787-78-0,species,Streptococcus sanguinis,Streptococcus,0.00799936715548888,0.41304347826086957,FALSE
Amoxicillin,26787-78-0,genus,Streptococcus,Streptococcus,0.0025106538138156,0.12,FALSE
Amoxicillin,26787-78-0,species,Yersinia enterocolitica,Yersinia,2.0463140179026027,0.9565217391304348,FALSE
Amoxicillin,26787-78-0,genus,Yersinia,Yersinia,2.0463140179026027,0.96,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Bacteroides fragilis group,Bacteroides,0.00359876014239861,0.13333333333333333,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Bacteroides,Bacteroides,0.00359876014239861,0.2,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Clostridium perfringens,Clostridium,0.0026949282392463602,0.06666666666666667,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Clostridium,Clostridium,0.0026949282392463602,0.1,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Cutibacterium acnes,Cutibacterium,0.00480991310595112,0.2,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Cutibacterium,Cutibacterium,0.00480991310595112,0.3,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Enterococcus faecalis,Enterococcus,0.01808169911467039,0.4,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Enterococcus,Enterococcus,0.01808169911467039,0.6,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Escherichia coli,Escherichia,0.13937651186358466,0.8,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Escherichia coli ATCC 25922,Escherichia,0.637583292082975,0.9333333333333333,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Escherichia,Escherichia,0.2981008810336295,1,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Haemophilus influenzae,Haemophilus,0.05923448378219419,0.6666666666666666,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Haemophilus influenzae ATCC 49247,Haemophilus,0.6128365160320837,0.8666666666666667,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Haemophilus influenzae ATCC 49766,Haemophilus,0.05590780207307019,0.6,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Haemophilus,Haemophilus,0.12660879847242396,0.8,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Klebsiella pneumoniae,Klebsiella,0.05355067042976843,0.5333333333333333,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Klebsiella pneumoniae ATCC 700603,Klebsiella,1.0744990380543815,1,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Klebsiella,Klebsiella,0.239875267303558,0.9,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Proteus mirabilis,Proteus,0.05021720424936535,0.4666666666666667,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Proteus vulgaris,Proteus,0.11556628639528951,0.7333333333333333,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Proteus,Proteus,0.07618015363762996,0.7,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Staphylococcus aureus ATCC 29213,Staphylococcus,0.01340537934751429,0.3333333333333333,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Staphylococcus,Staphylococcus,0.01340537934751429,0.5,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,species,Streptococcus pneumoniae ATCC 49619,Streptococcus,0.00493169759697108,0.26666666666666666,FALSE
Amoxicillin-clavulanic acid (fixed),74469-00-4,genus,Streptococcus,Streptococcus,0.00493169759697108,0.4,FALSE
Amphotericin B,1397-89-3,species,Aspergillus flavus EUCAST,Aspergillus,0.03517343404816221,0.8421052631578947,FALSE
Amphotericin B,1397-89-3,species,Aspergillus fumigatus EUCAST,Aspergillus,0.00773742450355579,0.3157894736842105,FALSE
Amphotericin B,1397-89-3,species,Aspergillus nidulans EUCAST,Aspergillus,0.02411460185583147,0.7368421052631579,FALSE
Amphotericin B,1397-89-3,species,Aspergillus niger EUCAST,Aspergillus,0.00470210633923801,0.10526315789473684,FALSE
Amphotericin B,1397-89-3,species,Aspergillus terreus EUCAST,Aspergillus,0.05593132798194395,0.9473684210526315,FALSE
Amphotericin B,1397-89-3,genus,Aspergillus,Aspergillus,0.01767696792356251,0.8,TRUE
Amphotericin B,1397-89-3,species,Candida albicans EUCAST,Candida,0.0100735577680523,0.47368421052631576,FALSE
Amphotericin B,1397-89-3,species,Candida dubliniensis EUCAST,Candida,0.00302623909342049,0.05263157894736842,FALSE
Amphotericin B,1397-89-3,species,Candida glabrata EUCAST,Candida,0.01317039295223561,0.5263157894736842,FALSE
Amphotericin B,1397-89-3,species,Candida guilliermondii EUCAST,Candida,0.00519928783686284,0.15789473684210525,FALSE
Amphotericin B,1397-89-3,species,Candida kefyr EUCAST,Candida,0.01622354107143092,0.631578947368421,FALSE
Amphotericin B,1397-89-3,species,Candida krusei EUCAST,Candida,0.0320441200633152,0.7894736842105263,FALSE
Amphotericin B,1397-89-3,species,Candida lusitaniae EUCAST,Candida,0.00536415487803692,0.21052631578947367,FALSE
Amphotericin B,1397-89-3,species,Candida parapsilosis EUCAST,Candida,0.01598159193096657,0.5789473684210527,FALSE
Amphotericin B,1397-89-3,species,Candida tropicalis EUCAST,Candida,0.01682847474074927,0.6842105263157895,FALSE
Amphotericin B,1397-89-3,genus,Candida,Candida,0.01051071089629835,0.6,TRUE
Amphotericin B,1397-89-3,species,Cryptococcus gattii EUC,Cryptococcus,0.00654598163338791,0.2631578947368421,FALSE
Amphotericin B,1397-89-3,species,Cryptococcus neoformans EUCAST,Cryptococcus,0.00920681849282753,0.42105263157894735,FALSE
Amphotericin B,1397-89-3,genus,Cryptococcus,Cryptococcus,0.00776322515169985,0.2,TRUE
Amphotericin B,1397-89-3,species,Fusarium (Gibberella) fujikuroi SC EUCAST,Fusarium,0.1018632533141822,1,FALSE
Amphotericin B,1397-89-3,species,Fusarium solani SC EUCAST,Fusarium,0.04811856433364892,0.8947368421052632,FALSE
Amphotericin B,1397-89-3,genus,Fusarium,Fusarium,0.07001080993556102,1,TRUE
Amphotericin B,1397-89-3,species,Saccharomyces cerevisiae EUCAST,Saccharomyces,0.00805452813355447,0.3684210526315789,FALSE
Amphotericin B,1397-89-3,genus,Saccharomyces,Saccharomyces,0.00805452813355447,0.4,TRUE
Ampicillin,69-53-4,species,Acinetobacter baumannii,Acinetobacter,0.5305627595677354,0.7662337662337663,FALSE
Ampicillin,69-53-4,genus,Acinetobacter,Acinetobacter,0.5305627595677354,0.78125,FALSE
Ampicillin,69-53-4,species,Actinobacillus pleuropneumoniae,Actinobacillus,0.00873593051687482,0.15584415584415584,FALSE
Ampicillin,69-53-4,genus,Actinobacillus,Actinobacillus,0.00873593051687482,0.21875,FALSE
Ampicillin,69-53-4,species,Aerococcus sanguinicola,Aerococcus,0.00229967789377573,0.07792207792207792,FALSE
Ampicillin,69-53-4,species,Aerococcus urinae,Aerococcus,0.00864329569074592,0.14285714285714285,FALSE
Ampicillin,69-53-4,genus,Aerococcus,Aerococcus,0.00445834005313361,0.125,FALSE
Ampicillin,69-53-4,species,Bacteroides fragilis,Bacteroides,0.8942846842316748,0.8311688311688312,FALSE
Ampicillin,69-53-4,species,Bacteroides fragilis group,Bacteroides,0.694702587510005,0.7922077922077922,FALSE
Ampicillin,69-53-4,species,Bacteroides ovatus,Bacteroides,1.241497975980428,0.9090909090909091,FALSE
Ampicillin,69-53-4,species,Bacteroides thetaiotaomicron,Bacteroides,1.585410726483003,0.961038961038961,FALSE
Ampicillin,69-53-4,species,Bacteroides vulgatus,Bacteroides,1.1654659028989172,0.8701298701298701,FALSE
Ampicillin,69-53-4,genus,Bacteroides,Bacteroides,1.0734267602735996,0.9375,FALSE
Ampicillin,69-53-4,species,Bifidobacterium adolescentis,Bifidobacterium,0.00222101808576737,0.06493506493506493,FALSE
Ampicillin,69-53-4,species,Bifidobacterium animalis,Bifidobacterium,0.00655273111103884,0.11688311688311688,FALSE
Ampicillin,69-53-4,species,Bifidobacterium longum,Bifidobacterium,0.01137775259813567,0.2077922077922078,FALSE
Ampicillin,69-53-4,genus,Bifidobacterium,Bifidobacterium,0.00549132282818836,0.15625,FALSE
Ampicillin,69-53-4,species,Bordetella bronchiseptica,Bordetella,0.7722413410383032,0.8181818181818182,FALSE
Ampicillin,69-53-4,genus,Bordetella,Bordetella,0.7722413410383032,0.84375,FALSE
Ampicillin,69-53-4,species,Campylobacter coli,Campylobacter,0.11204127044732694,0.6103896103896104,FALSE
Ampicillin,69-53-4,species,Campylobacter jejuni,Campylobacter,0.07813978288004865,0.5194805194805194,FALSE
Ampicillin,69-53-4,genus,Campylobacter,Campylobacter,0.09356751865021826,0.5625,FALSE
Ampicillin,69-53-4,species,Corynebacterium striatum,Corynebacterium,0.05990111411269556,0.4805194805194805,FALSE
Ampicillin,69-53-4,genus,Corynebacterium,Corynebacterium,0.05990111411269556,0.5,FALSE
Ampicillin,69-53-4,species,Enterobacter agglomerans,Enterobacter,0.2495960038323594,0.7142857142857143,FALSE
Ampicillin,69-53-4,species,Enterobacter cloacae,Enterobacter,1.2660346289869977,0.922077922077922,FALSE
Ampicillin,69-53-4,species,Enterobacter dissolvens,Enterobacter,3.47229143545356,0.987012987012987,FALSE
Ampicillin,69-53-4,genus,Enterobacter,Enterobacter,1.031414249807426,0.90625,FALSE
Ampicillin,69-53-4,species,Enterococcus avium,Enterococcus,0.05181895810544792,0.45454545454545453,FALSE
Ampicillin,69-53-4,species,Enterococcus casseliflavus,Enterococcus,0.03383696047190423,0.38961038961038963,FALSE
Ampicillin,69-53-4,species,Enterococcus cecorum,Enterococcus,0.01132824120212277,0.19480519480519481,FALSE
Ampicillin,69-53-4,species,Enterococcus faecalis,Enterococcus,0.04724813035581853,0.42857142857142855,FALSE
Ampicillin,69-53-4,species,Enterococcus faecalis ATCC 29212,Enterococcus,0.07432740831928139,0.5064935064935064,FALSE
Ampicillin,69-53-4,species,Enterococcus faecium,Enterococcus,0.05118739294164133,0.44155844155844154,FALSE
Ampicillin,69-53-4,genus,Enterococcus,Enterococcus,0.03909517751679405,0.46875,FALSE
Ampicillin,69-53-4,species,Escherichia coli,Escherichia,0.14911172564298908,0.6233766233766234,FALSE
Ampicillin,69-53-4,species,Escherichia coli ATCC 25922,Escherichia,0.3789071199609791,0.7402597402597403,FALSE
Ampicillin,69-53-4,genus,Escherichia,Escherichia,0.23769622318370284,0.625,FALSE
Ampicillin,69-53-4,species,Haemophilus influenzae,Haemophilus,0.01959137687468195,0.3116883116883117,FALSE
Ampicillin,69-53-4,species,Haemophilus parainfluenzae,Haemophilus,0.01941249858020803,0.2987012987012987,FALSE
Ampicillin,69-53-4,genus,Haemophilus,Haemophilus,0.01950173263492462,0.3125,FALSE
Ampicillin,69-53-4,species,Hafnia alvei,Hafnia,0.45562550607700403,0.7532467532467533,FALSE
Ampicillin,69-53-4,genus,Hafnia,Hafnia,0.45562550607700403,0.71875,FALSE
Ampicillin,69-53-4,species,Kingella kingae,Kingella,0.00140810722512542,0.03896103896103896,FALSE
Ampicillin,69-53-4,genus,Kingella,Kingella,0.00140810722512542,0.03125,FALSE
Ampicillin,69-53-4,species,Klebsiella aerogenes,Klebsiella,1.457680720502741,0.948051948051948,FALSE
Ampicillin,69-53-4,species,Klebsiella oxytoca,Klebsiella,1.1756315681632237,0.8831168831168831,FALSE
Ampicillin,69-53-4,species,Klebsiella pneumoniae,Klebsiella,1.2379825844835932,0.8961038961038961,FALSE
Ampicillin,69-53-4,genus,Klebsiella,Klebsiella,1.284939642702913,0.96875,FALSE
Ampicillin,69-53-4,species,Kluyvera spp,Kluyvera,0.21467771228303564,0.6753246753246753,FALSE
Ampicillin,69-53-4,genus,Kluyvera,Kluyvera,0.21467771228303564,0.59375,FALSE
Ampicillin,69-53-4,species,Lactobacillus amylovorus,Lactobacillus,0.00756645474576545,0.12987012987012986,FALSE
Ampicillin,69-53-4,species,Lactobacillus gasseri,Lactobacillus,0.02022131799170166,0.3246753246753247,FALSE
Ampicillin,69-53-4,species,Lactobacillus johnsonii,Lactobacillus,0.0215466850337721,0.33766233766233766,FALSE
Ampicillin,69-53-4,species,Lactobacillus paracasei,Lactobacillus,0.08269641599406727,0.5454545454545454,FALSE
Ampicillin,69-53-4,species,Lactobacillus plantarum,Lactobacillus,0.01616215767524116,0.2727272727272727,FALSE
Ampicillin,69-53-4,species,Lactobacillus reuteri,Lactobacillus,0.03000906893179165,0.36363636363636365,FALSE
Ampicillin,69-53-4,species,Lactobacillus rhamnosus,Lactobacillus,0.08095868057190514,0.5324675324675324,FALSE
Ampicillin,69-53-4,species,Lactobacillus sakei,Lactobacillus,0.1653973921012012,0.6363636363636364,FALSE
Ampicillin,69-53-4,genus,Lactobacillus,Lactobacillus,0.03396363176260039,0.40625,FALSE
Ampicillin,69-53-4,species,Legionella pneumophila,Legionella,0.03840090386719359,0.4155844155844156,FALSE
Ampicillin,69-53-4,genus,Legionella,Legionella,0.03840090386719359,0.4375,FALSE
